Time,Forces,Platform Position
10114.0,1.73,0.0
10115.0,1.72,0.0
10115.0,1.73,0.0
10116.0,1.72,0.0
10116.0,1.69,0.0
10117.0,1.69,0.0
10118.0,1.69,0.0
10118.0,1.69,0.0
10119.0,1.69,0.0
10119.0,1.69,0.0
10120.0,1.6,0.0
10121.0,1.6,0.0
10121.0,1.6,0.0
10122.0,1.6,0.0
10122.0,1.6,0.0
10123.0,1.61,0.0
10124.0,1.62,0.0
10124.0,1.61,0.0
10125.0,1.62,0.0
10125.0,1.61,0.0
10126.0,1.59,0.0
10127.0,1.59,0.0
10127.0,1.59,0.0
10128.0,1.59,0.0
10128.0,1.59,0.0
10129.0,1.71,0.0
10130.0,1.71,0.0
10130.0,1.71,0.0
10131.0,1.71,0.0
10131.0,1.71,0.0
10132.0,1.64,0.0
10133.0,1.64,0.0
10133.0,1.64,0.0
10134.0,1.64,0.0
10134.0,1.64,0.0
10135.0,1.64,0.0
10136.0,1.5,0.0
10136.0,1.5,0.0
10137.0,1.5,0.0
10137.0,1.5,0.0
10138.0,1.5,0.0
10139.0,1.53,0.0
10139.0,1.53,0.0
10140.0,1.53,0.0
10140.0,1.53,0.0
10141.0,1.53,0.0
10142.0,1.46,0.0
10142.0,1.46,0.0
10143.0,1.46,0.0
10143.0,1.46,0.0
10144.0,1.46,0.0
10145.0,1.38,0.0
10145.0,1.38,0.0
10146.0,1.38,0.0
10146.0,1.38,0.0
10147.0,1.38,0.0
10148.0,1.38,0.0
10148.0,1.4,0.0
10149.0,1.4,0.0
10149.0,1.4,0.0
10150.0,1.4,0.0
10151.0,1.4,0.0
10151.0,1.69,0.0
10152.0,1.69,0.0
10152.0,1.69,0.0
10153.0,1.69,0.0
10154.0,1.69,0.0
10154.0,1.67,0.0
10155.0,1.67,0.0
10155.0,1.67,0.0
10156.0,1.67,0.0
10157.0,1.67,0.0
10157.0,1.84,0.0
10158.0,1.84,0.0
10158.0,1.84,0.0
10159.0,1.84,0.0
10160.0,1.84,0.0
10160.0,1.95,0.0
10161.0,1.95,0.0
10161.0,1.95,0.0
10162.0,1.95,0.0
10162.0,1.95,0.0
10163.0,1.95,0.0
10164.0,1.9,0.0
10164.0,1.9,0.0
10165.0,1.9,0.0
10165.0,1.9,0.0
10166.0,1.9,0.0
10167.0,1.95,0.0
10167.0,1.94,0.0
10168.0,1.95,0.0
10168.0,1.94,0.0
10169.0,1.95,0.0
10170.0,2.03,0.0
10170.0,2.04,0.0
10171.0,2.03,0.0
10171.0,2.04,0.0
10172.0,2.03,0.0
10173.0,1.82,0.0
10173.0,1.81,0.0
10174.0,1.82,0.0
10174.0,1.81,0.0
10175.0,1.82,0.0
10176.0,1.81,0.0
10176.0,1.69,0.0
10177.0,1.69,0.0
10177.0,1.69,0.0
10178.0,1.69,0.0
10179.0,1.69,0.0
10179.0,1.76,0.0
10180.0,1.76,0.0
10180.0,1.76,0.0
10181.0,1.76,0.0
10182.0,1.76,0.0
10182.0,1.76,0.0
10183.0,1.76,0.0
10183.0,1.76,0.0
10184.0,1.76,0.0
10185.0,1.76,0.0
10185.0,1.84,0.0
10186.0,1.84,0.0
10186.0,1.84,0.0
10187.0,1.84,0.0
10188.0,1.84,0.0
10188.0,2.02,0.0
10189.0,2.02,0.0
10189.0,2.02,0.0
10190.0,2.02,0.0
10191.0,2.02,0.0
10191.0,2.02,0.0
10192.0,1.8,0.0
10192.0,1.8,0.0
10193.0,1.8,0.0
10194.0,1.8,0.0
10194.0,1.8,0.0
10195.0,1.52,0.0
10195.0,1.52,0.0
10196.0,1.52,0.0
10197.0,1.52,0.0
10197.0,1.52,0.0
10198.0,1.55,0.0
10198.0,1.55,0.0
10199.0,1.55,0.0
10200.0,1.55,0.0
10200.0,1.55,0.0
10201.0,1.7,0.0
10201.0,1.7,0.0
10202.0,1.7,0.0
10203.0,1.7,0.0
10203.0,1.7,0.0
10204.0,1.7,0.0
10204.0,1.53,0.0
10205.0,1.53,0.0
10206.0,1.53,0.0
10206.0,1.53,0.0
10207.0,1.53,0.0
10207.0,1.57,0.0
10208.0,1.56,0.0
10208.0,1.57,0.0
10209.0,1.56,0.0
10210.0,1.57,0.0
10210.0,1.59,0.0
10211.0,1.6,0.0
10211.0,1.59,0.0
10212.0,1.6,0.0
10213.0,1.59,0.0
10213.0,1.83,0.0
10214.0,1.83,0.0
10214.0,1.83,0.0
10215.0,1.83,0.0
10216.0,1.83,0.0
10216.0,1.72,0.0
10217.0,1.73,0.0
10217.0,1.72,0.0
10218.0,1.73,0.0
10219.0,1.72,0.0
10219.0,1.73,0.0
10220.0,1.94,0.0
10220.0,1.95,0.0
10221.0,1.94,0.0
10222.0,1.95,0.0
10222.0,1.94,0.0
10223.0,1.93,0.0
10223.0,1.93,0.0
10224.0,1.93,0.0
10225.0,1.93,0.0
10225.0,1.93,0.0
10226.0,1.58,0.0
10226.0,1.58,0.0
10227.0,1.58,0.0
10228.0,1.58,0.0
10228.0,1.58,0.0
10229.0,1.51,0.0
10229.0,1.51,0.0
10230.0,1.51,0.0
10231.0,1.51,0.0
10231.0,1.51,0.0
10232.0,1.67,0.0
10232.0,1.67,0.0
10233.0,1.67,0.0
10234.0,1.67,0.0
10234.0,1.67,0.0
10235.0,1.67,0.0
10235.0,1.59,0.0
10236.0,1.6,0.0
10237.0,1.59,0.0
10237.0,1.6,0.0
10238.0,1.59,0.0
10238.0,1.68,0.0
10239.0,1.68,0.0
10240.0,1.68,0.0
10240.0,1.68,0.0
10241.0,1.68,0.0
10241.0,1.77,0.0
10242.0,1.77,0.0
10243.0,1.77,0.0
10243.0,1.77,0.0
10244.0,1.77,0.0
10244.0,1.55,0.0
10245.0,1.55,0.0
10246.0,1.55,0.0
10246.0,1.55,0.0
10247.0,1.55,0.0
10247.0,1.55,0.0
10248.0,1.49,0.0
10249.0,1.49,0.0
10249.0,1.49,0.0
10250.0,1.49,0.0
10250.0,1.49,0.0
10251.0,1.65,0.0
10252.0,1.65,0.0
10252.0,1.65,0.0
10253.0,1.65,0.0
10253.0,1.65,0.0
10254.0,1.69,0.0
10255.0,1.69,0.0
10255.0,1.69,0.0
10256.0,1.69,0.0
10256.0,1.69,0.0
10257.0,1.75,0.0
10257.0,1.75,0.0
10258.0,1.75,0.0
10259.0,1.75,0.0
10259.0,1.75,0.0
10260.0,1.7,0.0
10260.0,1.69,0.0
10261.0,1.7,0.0
10262.0,1.69,0.0
10262.0,1.7,0.0
10263.0,1.69,0.0
10263.0,1.65,0.0
10264.0,1.65,0.0
10265.0,1.65,0.0
10265.0,1.65,0.0
10266.0,1.65,0.0
10266.0,1.76,0.0
10267.0,1.76,0.0
10268.0,1.76,0.0
10268.0,1.76,0.0
10269.0,1.76,0.0
10269.0,1.67,0.0
10270.0,1.67,0.0
10271.0,1.67,0.0
10271.0,1.67,0.0
10272.0,1.67,0.0
10272.0,1.64,0.0
10273.0,1.64,0.0
10274.0,1.64,0.0
10274.0,1.64,0.0
10275.0,1.64,0.0
10275.0,1.64,0.0
10276.0,1.65,0.0
10277.0,1.65,0.0
10277.0,1.65,0.0
10278.0,1.65,0.0
10278.0,1.65,0.0
10279.0,1.85,0.0
10280.0,1.84,0.0
10280.0,1.85,0.0
10281.0,1.84,0.0
10281.0,1.85,0.0
10282.0,1.89,0.0
10283.0,1.89,0.0
10283.0,1.89,0.0
10284.0,1.89,0.0
10284.0,1.89,0.0
10285.0,1.83,0.0
10286.0,1.83,0.0
10286.0,1.83,0.0
10287.0,1.83,0.0
10287.0,1.83,0.0
10288.0,1.68,0.0
10289.0,1.68,0.0
10289.0,1.68,0.0
10290.0,1.68,0.0
10290.0,1.68,0.0
10291.0,1.68,0.0
10292.0,1.63,0.0
10292.0,1.63,0.0
10293.0,1.63,0.0
