Time,Forces,Platform Position
4345575.0,1.17,0.0
4346172.0,1.17,0.0
4346769.0,1.17,0.0
4347367.0,1.26,0.0
4347964.0,1.26,0.0
4348561.0,1.26,0.0
4349158.0,1.26,0.0
4349756.0,1.26,0.0
4350353.0,1.42,0.0
4350950.0,1.42,0.0
4351547.0,1.42,0.0
4352145.0,1.42,0.0
4352742.0,1.42,0.0
4353339.0,1.45,0.0
4353937.0,1.45,0.0
4354534.0,1.45,0.0
4355131.0,1.45,0.0
4355728.0,1.45,0.0
4356326.0,1.45,0.0
4356923.0,1.45,0.0
4357520.0,1.44,0.0
4358117.0,1.45,0.0
4358715.0,1.44,0.0
4359312.0,1.45,0.0
4359909.0,1.57,0.0
4360506.0,1.57,0.0
4361104.0,1.57,0.0
4361701.0,1.57,0.0
4362298.0,1.57,0.0
4362896.0,1.44,0.0
4363493.0,1.44,0.0
4364090.0,1.44,0.0
4364688.0,1.44,0.0
4365285.0,1.44,0.0
4365882.0,1.37,0.0
4366480.0,1.37,0.0
4367077.0,1.37,0.0
4367674.0,1.37,0.0
4368272.0,1.37,0.0
4368869.0,1.37,0.0
4369466.0,1.29,0.0
4370063.0,1.29,0.0
4370661.0,1.29,0.0
4371258.0,1.29,0.0
4371855.0,1.29,0.0
4372452.0,1.18,0.0
4373050.0,1.18,0.0
4373647.0,1.18,0.0
4374244.0,1.18,0.0
4374842.0,1.18,0.0
4375439.0,1.29,0.0
4376036.0,1.29,0.0
4376633.0,1.29,0.0
4377231.0,1.29,0.0
4377828.0,1.29,0.0
4378425.0,1.34,0.0
4379022.0,1.34,0.0
4379620.0,1.34,0.0
4380217.0,1.34,0.0
4380814.0,1.34,0.0
4381412.0,1.21,0.0
4382009.0,1.22,0.0
4382606.0,1.21,0.0
4383204.0,1.22,0.0
4383801.0,1.21,0.0
4384398.0,1.22,0.0
4384995.0,1.26,0.0
4385593.0,1.26,0.0
4386190.0,1.26,0.0
4386787.0,1.26,0.0
4387385.0,1.26,0.0
4387982.0,1.45,0.0
4388579.0,1.44,0.0
4389176.0,1.45,0.0
4389774.0,1.44,0.0
4390371.0,1.45,0.0
4390968.0,1.5,0.0
4391565.0,1.5,0.0
4392163.0,1.5,0.0
4392760.0,1.5,0.0
4393357.0,1.5,0.0
4393954.0,1.54,0.0
4394552.0,1.54,0.0
4395149.0,1.54,0.0
4395746.0,1.54,0.0
4396344.0,1.54,0.0
4396941.0,1.54,0.0
4397538.0,1.54,0.0
4398135.0,1.54,0.0
4398733.0,1.54,0.0
4399330.0,1.54,0.0
4399927.0,1.54,0.0
4400524.0,1.68,0.0
4401122.0,1.68,0.0
4401719.0,1.68,0.0
4402316.0,1.68,0.0
4402914.0,1.68,0.0
4403511.0,1.87,0.0
4404108.0,1.87,0.0
4404705.0,1.87,0.0
4405303.0,1.87,0.0
4405900.0,1.87,0.0
4406497.0,1.67,0.0
4407094.0,1.67,0.0
4407692.0,1.67,0.0
4408289.0,1.67,0.0
4408886.0,1.67,0.0
4409484.0,1.48,0.0
4410081.0,1.48,0.0
4410678.0,1.48,0.0
4411276.0,1.48,0.0
4411873.0,1.48,0.0
4412470.0,1.48,0.0
4413067.0,1.56,0.0
4413665.0,1.56,0.0
4414262.0,1.56,0.0
4414859.0,1.56,0.0
4415457.0,1.56,0.0
4416054.0,1.57,0.0
4416651.0,1.57,0.0
4417248.0,1.57,0.0
4417846.0,1.57,0.0
4418443.0,1.57,0.0
4419040.0,1.4,0.0
4419637.0,1.4,0.0
4420235.0,1.4,0.0
4420832.0,1.4,0.0
4421429.0,1.4,0.0
4422027.0,1.34,0.0
4422624.0,1.34,0.0
4423221.0,1.34,0.0
4423818.0,1.34,0.0
4424416.0,1.34,0.0
4425013.0,1.34,0.0
4425610.0,1.34,0.0
4426208.0,1.34,0.0
4426805.0,1.34,0.0
4427402.0,1.34,0.0
4427999.0,1.34,0.0
4428597.0,1.33,0.0
4429194.0,1.33,0.0
4429791.0,1.33,0.0
4430389.0,1.33,0.0
4430986.0,1.33,0.0
4431583.0,1.45,0.0
4432180.0,1.45,0.0
4432778.0,1.45,0.0
4433375.0,1.45,0.0
4433972.0,1.45,0.0
4434570.0,1.59,0.0
4435167.0,1.59,0.0
4435764.0,1.59,0.0
4436361.0,1.59,0.0
4436959.0,1.59,0.0
4437556.0,1.51,0.0
4438153.0,1.51,0.0
4438750.0,1.51,0.0
4439348.0,1.51,0.0
4439945.0,1.51,0.0
4440542.0,1.51,0.0
4441139.0,1.34,0.0
4441737.0,1.34,0.0
4442334.0,1.34,0.0
4442931.0,1.34,0.0
4443529.0,1.34,0.0
4444126.0,1.26,0.0
4444723.0,1.26,0.0
4445320.0,1.26,0.0
4445918.0,1.26,0.0
4446515.0,1.26,0.0
4447112.0,1.42,0.0
4447710.0,1.42,0.0
4448307.0,1.42,0.0
4448904.0,1.42,0.0
4449502.0,1.42,0.0
4450099.0,1.5,0.0
4450696.0,1.49,0.0
4451293.0,1.5,0.0
4451891.0,1.49,0.0
4452488.0,1.5,0.0
4453085.0,1.49,0.0
4453682.0,1.51,0.0
4454280.0,1.51,0.0
4454877.0,1.51,0.0
4455474.0,1.51,0.0
4456072.0,1.51,0.0
4456669.0,1.43,0.0
4457266.0,1.43,0.0
4457863.0,1.43,0.0
4458461.0,1.43,0.0
4459058.0,1.43,0.0
4459655.0,1.42,0.0
4460252.0,1.42,0.0
4460850.0,1.42,0.0
4461447.0,1.42,0.0
4462044.0,1.42,0.0
