Time,Forces,Platform Position
2413500039.0,1.35,0.0
2413500636.0,1.35,0.0
2413501233.0,1.35,0.0
2413501831.0,1.35,0.0
2413502428.0,1.35,0.0
2413503026.0,1.35,0.0
2413503623.0,1.43,0.0
2413504221.0,1.43,0.0
2413504818.0,1.43,0.0
2413505415.0,1.43,0.0
2413506013.0,1.43,0.0
2413506610.0,1.41,0.0
2413507208.0,1.41,0.0
2413507805.0,1.41,0.0
2413508403.0,1.41,0.0
2413509000.0,1.41,0.0
2413509598.0,1.55,0.0
2413510195.0,1.55,0.0
2413510792.0,1.55,0.0
2413511390.0,1.55,0.0
2413511987.0,1.55,0.0
2413512585.0,1.56,0.0
2413513182.0,1.56,0.0
2413513780.0,1.56,0.0
2413514377.0,1.56,0.0
2413514975.0,1.56,0.0
2413515572.0,1.56,0.0
2413516170.0,1.51,0.0
2413516767.0,1.51,0.0
2413517365.0,1.51,0.0
2413517962.0,1.51,0.0
2413518559.0,1.51,0.0
2413519157.0,1.52,0.0
2413519754.0,1.52,0.0
2413520352.0,1.52,0.0
2413520949.0,1.52,0.0
2413521546.0,1.52,0.0
2413522144.0,1.41,0.0
2413522741.0,1.41,0.0
2413523339.0,1.41,0.0
2413523936.0,1.41,0.0
2413524534.0,1.41,0.0
2413525131.0,1.42,0.0
2413525729.0,1.42,0.0
2413526326.0,1.42,0.0
2413526923.0,1.42,0.0
2413527521.0,1.42,0.0
2413528118.0,1.55,0.0
2413528715.0,1.55,0.0
2413529313.0,1.55,0.0
2413529910.0,1.55,0.0
2413530508.0,1.55,0.0
2413531105.0,1.55,0.0
2413531703.0,1.69,0.0
2413532300.0,1.69,0.0
2413532898.0,1.69,0.0
2413533495.0,1.69,0.0
2413534092.0,1.69,0.0
2413534690.0,1.42,0.0
2413535287.0,1.42,0.0
2413535885.0,1.42,0.0
2413536482.0,1.42,0.0
2413537080.0,1.42,0.0
2413537677.0,1.42,0.0
2413538275.0,1.42,0.0
2413538872.0,1.42,0.0
2413539469.0,1.42,0.0
2413540067.0,1.42,0.0
2413540664.0,1.41,0.0
2413541262.0,1.41,0.0
2413541859.0,1.41,0.0
2413542457.0,1.41,0.0
2413543054.0,1.41,0.0
2413543652.0,1.41,0.0
2413544249.0,1.5,0.0
2413544846.0,1.49,0.0
2413545444.0,1.5,0.0
2413546041.0,1.49,0.0
2413546639.0,1.5,0.0
2413547236.0,1.48,0.0
2413547834.0,1.48,0.0
2413548431.0,1.48,0.0
2413549028.0,1.48,0.0
2413549626.0,1.48,0.0
2413550223.0,1.57,0.0
2413550821.0,1.56,0.0
2413551418.0,1.57,0.0
2413552016.0,1.56,0.0
2413552613.0,1.57,0.0
2413553210.0,1.48,0.0
2413553808.0,1.48,0.0
2413554405.0,1.48,0.0
2413555003.0,1.48,0.0
2413555600.0,1.48,0.0
2413556198.0,1.34,0.0
2413556795.0,1.34,0.0
2413557392.0,1.34,0.0
2413557990.0,1.34,0.0
2413558587.0,1.34,0.0
2413559185.0,1.34,0.0
2413559782.0,1.45,0.0
2413560380.0,1.44,0.0
2413560977.0,1.45,0.0
2413561574.0,1.44,0.0
2413562172.0,1.45,0.0
2413562769.0,1.41,0.0
2413563367.0,1.41,0.0
2413563964.0,1.41,0.0
2413564561.0,1.41,0.0
2413565159.0,1.41,0.0
2413565756.0,1.36,0.0
2413566354.0,1.36,0.0
2413566951.0,1.36,0.0
2413567548.0,1.36,0.0
2413568146.0,1.36,0.0
2413568743.0,1.22,0.0
2413569341.0,1.22,0.0
2413569938.0,1.22,0.0
2413570535.0,1.22,0.0
2413571133.0,1.22,0.0
2413571730.0,1.22,0.0
2413572328.0,1.26,0.0
2413572925.0,1.26,0.0
2413573523.0,1.26,0.0
2413574120.0,1.26,0.0
2413574717.0,1.26,0.0
2413575315.0,1.43,0.0
2413575912.0,1.43,0.0
2413576510.0,1.43,0.0
2413577107.0,1.43,0.0
2413577705.0,1.43,0.0
2413578302.0,1.32,0.0
2413578899.0,1.33,0.0
2413579497.0,1.32,0.0
2413580094.0,1.33,0.0
2413580692.0,1.32,0.0
2413581289.0,1.29,0.0
2413581886.0,1.29,0.0
2413582484.0,1.29,0.0
2413583081.0,1.29,0.0
2413583679.0,1.29,0.0
2413584276.0,1.28,0.0
2413584874.0,1.28,0.0
2413585471.0,1.28,0.0
2413586068.0,1.28,0.0
2413586666.0,1.28,0.0
2413587263.0,1.28,0.0
2413587860.0,1.52,0.0
2413588458.0,1.52,0.0
2413589055.0,1.52,0.0
2413589653.0,1.52,0.0
2413590250.0,1.52,0.0
2413590848.0,1.55,0.0
2413591445.0,1.55,0.0
2413592042.0,1.55,0.0
2413592640.0,1.55,0.0
2413593237.0,1.55,0.0
2413593835.0,1.52,0.0
2413594432.0,1.52,0.0
2413595030.0,1.52,0.0
2413595627.0,1.52,0.0
2413596225.0,1.52,0.0
2413596822.0,1.54,0.0
2413597419.0,1.54,0.0
2413598017.0,1.54,0.0
2413598614.0,1.54,0.0
2413599212.0,1.54,0.0
2413599809.0,1.54,0.0
2413600407.0,1.51,0.0
2413601004.0,1.51,0.0
2413601602.0,1.51,0.0
2413602199.0,1.51,0.0
2413602796.0,1.51,0.0
2413603394.0,1.62,0.0
2413603991.0,1.62,0.0
2413604589.0,1.62,0.0
2413605186.0,1.62,0.0
2413605784.0,1.62,0.0
2413606381.0,1.72,0.0
2413606978.0,1.71,0.0
2413607576.0,1.72,0.0
