Time,Forces,Platform Position
9606.0,3.86,0.0
9607.0,3.91,0.0
9608.0,3.91,0.0
9608.0,3.91,0.0
9609.0,3.91,0.0
9609.0,3.91,0.0
9610.0,3.81,0.0
9610.0,3.81,0.0
9611.0,3.81,0.0
9612.0,3.81,0.0
9612.0,3.81,0.0
9613.0,3.81,0.0
9613.0,3.9,0.0
9614.0,3.9,0.0
9615.0,3.9,0.0
9615.0,3.9,0.0
9616.0,3.9,0.0
9616.0,3.95,0.0
9617.0,3.95,0.0
9618.0,3.95,0.0
9618.0,3.95,0.0
9619.0,3.95,0.0
9619.0,3.96,0.0
9620.0,3.96,0.0
9620.0,3.96,0.0
9621.0,3.96,0.0
9622.0,3.96,0.0
9622.0,3.96,0.0
9623.0,3.79,0.0
9623.0,3.8,0.0
9624.0,3.79,0.0
9625.0,3.8,0.0
9625.0,3.79,0.0
9626.0,3.78,0.0
9626.0,3.77,0.0
9627.0,3.78,0.0
9627.0,3.77,0.0
9628.0,3.78,0.0
9629.0,3.79,0.0
9629.0,3.79,0.0
9630.0,3.79,0.0
9630.0,3.79,0.0
9631.0,3.79,0.0
9632.0,3.98,0.0
9632.0,3.98,0.0
9633.0,3.98,0.0
9633.0,3.98,0.0
9634.0,3.98,0.0
9635.0,3.98,0.0
9635.0,3.86,0.0
9636.0,3.85,0.0
9636.0,3.86,0.0
9637.0,3.85,0.0
9637.0,3.86,0.0
9638.0,3.68,0.0
9639.0,3.68,0.0
9639.0,3.68,0.0
9640.0,3.68,0.0
9640.0,3.68,0.0
9641.0,3.76,0.0
9642.0,3.75,0.0
9642.0,3.76,0.0
9643.0,3.75,0.0
9643.0,3.76,0.0
9644.0,3.75,0.0
9644.0,3.62,0.0
9645.0,3.61,0.0
9646.0,3.62,0.0
9646.0,3.61,0.0
9647.0,3.62,0.0
9647.0,3.57,0.0
9648.0,3.57,0.0
9649.0,3.57,0.0
9649.0,3.57,0.0
9650.0,3.57,0.0
9650.0,3.76,0.0
9651.0,3.75,0.0
9652.0,3.76,0.0
9652.0,3.75,0.0
9653.0,3.76,0.0
9653.0,3.75,0.0
9654.0,3.8,0.0
9654.0,3.8,0.0
9655.0,3.8,0.0
9656.0,3.8,0.0
9656.0,3.8,0.0
9657.0,4.12,0.0
9657.0,4.12,0.0
9658.0,4.12,0.0
9659.0,4.12,0.0
9659.0,4.12,0.0
9660.0,3.99,0.0
9660.0,3.99,0.0
9661.0,3.99,0.0
9661.0,3.99,0.0
9662.0,3.99,0.0
9663.0,3.99,0.0
9663.0,3.94,0.0
9664.0,3.94,0.0
9664.0,3.94,0.0
9665.0,3.94,0.0
9666.0,3.94,0.0
9666.0,4.08,0.0
9667.0,4.08,0.0
9667.0,4.08,0.0
9668.0,4.08,0.0
9669.0,4.08,0.0
9669.0,3.92,0.0
9670.0,3.92,0.0
9670.0,3.92,0.0
9671.0,3.92,0.0
9672.0,3.92,0.0
9672.0,3.73,0.0
9673.0,3.73,0.0
9673.0,3.73,0.0
9674.0,3.73,0.0
9675.0,3.73,0.0
9675.0,3.73,0.0
9676.0,3.77,0.0
9676.0,3.77,0.0
9677.0,3.77,0.0
9677.0,3.77,0.0
9678.0,3.77,0.0
9679.0,4.0,0.0
9679.0,4.0,0.0
9680.0,4.0,0.0
9680.0,4.0,0.0
9681.0,4.0,0.0
9682.0,3.72,0.0
9682.0,3.72,0.0
9683.0,3.72,0.0
9683.0,3.72,0.0
9684.0,3.72,0.0
9684.0,3.72,0.0
9685.0,4.0,0.0
9686.0,4.01,0.0
9686.0,4.0,0.0
9687.0,4.01,0.0
9687.0,4.0,0.0
9688.0,3.98,0.0
9689.0,3.98,0.0
9689.0,3.98,0.0
9690.0,3.98,0.0
9690.0,3.98,0.0
9691.0,3.71,0.0
9691.0,3.71,0.0
9692.0,3.71,0.0
9693.0,3.71,0.0
9693.0,3.71,0.0
9694.0,3.71,0.0
9694.0,3.91,0.0
9695.0,3.91,0.0
9696.0,3.91,0.0
9696.0,3.91,0.0
9697.0,3.91,0.0
9697.0,4.05,0.0
9698.0,4.05,0.0
9699.0,4.05,0.0
9699.0,4.05,0.0
9700.0,4.05,0.0
9700.0,3.83,0.0
9701.0,3.84,0.0
9701.0,3.83,0.0
9702.0,3.84,0.0
9703.0,3.83,0.0
9703.0,3.84,0.0
9704.0,3.57,0.0
9704.0,3.57,0.0
9705.0,3.57,0.0
9706.0,3.57,0.0
9706.0,3.57,0.0
9707.0,3.68,0.0
9707.0,3.68,0.0
9708.0,3.68,0.0
9709.0,3.68,0.0
9709.0,3.68,0.0
9710.0,3.98,0.0
9710.0,3.98,0.0
9711.0,3.98,0.0
9711.0,3.98,0.0
9712.0,3.98,0.0
9713.0,3.98,0.0
9713.0,4.14,0.0
9714.0,4.14,0.0
9714.0,4.14,0.0
9715.0,4.14,0.0
9716.0,4.14,0.0
9716.0,3.92,0.0
9717.0,3.92,0.0
9717.0,3.92,0.0
9718.0,3.92,0.0
9718.0,3.92,0.0
9719.0,3.66,0.0
9720.0,3.66,0.0
9720.0,3.66,0.0
9721.0,3.66,0.0
9721.0,3.66,0.0
9722.0,3.66,0.0
9723.0,3.81,0.0
9723.0,3.82,0.0
9724.0,3.81,0.0
9724.0,3.82,0.0
9725.0,3.81,0.0
9726.0,3.68,0.0
9726.0,3.68,0.0
9727.0,3.68,0.0
9727.0,3.68,0.0
9728.0,3.68,0.0
9728.0,3.77,0.0
9729.0,3.77,0.0
9730.0,3.77,0.0
9730.0,3.77,0.0
9731.0,3.77,0.0
9731.0,3.82,0.0
9732.0,3.81,0.0
9733.0,3.82,0.0
9733.0,3.81,0.0
9734.0,3.82,0.0
9734.0,3.81,0.0
9735.0,3.65,0.0
9735.0,3.65,0.0
9736.0,3.65,0.0
9737.0,3.65,0.0
9737.0,3.65,0.0
9738.0,3.86,0.0
9738.0,3.86,0.0
9739.0,3.86,0.0
9740.0,3.86,0.0
9740.0,3.86,0.0
9741.0,3.73,0.0
9741.0,3.73,0.0
9742.0,3.73,0.0
9743.0,3.73,0.0
9743.0,3.73,0.0
9744.0,3.73,0.0
9744.0,3.83,0.0
9745.0,3.82,0.0
9745.0,3.83,0.0
9746.0,3.82,0.0
9747.0,3.83,0.0
9747.0,4.01,0.0
9748.0,4.01,0.0
9748.0,4.01,0.0
9749.0,4.01,0.0
9750.0,4.01,0.0
9750.0,4.1,0.0
