Time,Forces,Platform Position
24436.0,1.33,0.0
24437.0,1.33,0.0
24437.0,1.33,0.0
24438.0,1.5,0.0
24438.0,1.49,0.0
24439.0,1.5,0.0
24440.0,1.49,0.0
24440.0,1.5,0.0
24441.0,1.68,0.0
24441.0,1.68,0.0
24442.0,1.68,0.0
24442.0,1.68,0.0
24443.0,1.68,0.0
24444.0,1.73,0.0
24444.0,1.72,0.0
24445.0,1.73,0.0
24445.0,1.72,0.0
24446.0,1.73,0.0
24447.0,1.72,0.0
24447.0,1.67,0.0
24448.0,1.67,0.0
24448.0,1.67,0.0
24449.0,1.67,0.0
24450.0,1.67,0.0
24450.0,1.68,0.0
24451.0,1.68,0.0
24451.0,1.68,0.0
24452.0,1.68,0.0
24453.0,1.68,0.0
24453.0,1.72,0.0
24454.0,1.72,0.0
24454.0,1.72,0.0
24455.0,1.72,0.0
24455.0,1.72,0.0
24456.0,1.72,0.0
24457.0,1.74,0.0
24457.0,1.74,0.0
24458.0,1.74,0.0
24458.0,1.74,0.0
24459.0,1.74,0.0
24460.0,1.85,0.0
24460.0,1.85,0.0
24461.0,1.85,0.0
24461.0,1.85,0.0
24462.0,1.85,0.0
24462.0,1.96,0.0
24463.0,1.95,0.0
24464.0,1.96,0.0
24464.0,1.95,0.0
24465.0,1.96,0.0
24465.0,2.01,0.0
24466.0,2.01,0.0
24467.0,2.01,0.0
24467.0,2.01,0.0
24468.0,2.01,0.0
24468.0,2.01,0.0
24469.0,1.9,0.0
24470.0,1.9,0.0
24470.0,1.9,0.0
24471.0,1.9,0.0
24471.0,1.9,0.0
24472.0,1.75,0.0
24472.0,1.75,0.0
24473.0,1.75,0.0
24474.0,1.75,0.0
24474.0,1.75,0.0
24475.0,1.8,0.0
24475.0,1.8,0.0
24476.0,1.8,0.0
24477.0,1.8,0.0
24477.0,1.8,0.0
24478.0,1.8,0.0
24478.0,1.98,0.0
24479.0,1.99,0.0
24480.0,1.98,0.0
24480.0,1.99,0.0
24481.0,1.98,0.0
24481.0,2.08,0.0
24482.0,2.07,0.0
24482.0,2.08,0.0
24483.0,2.07,0.0
24484.0,2.08,0.0
24484.0,1.79,0.0
24485.0,1.79,0.0
24485.0,1.79,0.0
24486.0,1.79,0.0
24487.0,1.79,0.0
24487.0,1.79,0.0
24488.0,1.39,0.0
24488.0,1.39,0.0
24489.0,1.39,0.0
24489.0,1.39,0.0
24490.0,1.39,0.0
24491.0,1.5,0.0
24491.0,1.5,0.0
24492.0,1.5,0.0
24492.0,1.5,0.0
24493.0,1.5,0.0
24494.0,1.53,0.0
24494.0,1.53,0.0
24495.0,1.53,0.0
24495.0,1.53,0.0
24496.0,1.53,0.0
24497.0,1.53,0.0
24497.0,1.54,0.0
24498.0,1.54,0.0
24498.0,1.54,0.0
24499.0,1.54,0.0
24499.0,1.54,0.0
24500.0,1.72,0.0
24501.0,1.72,0.0
24501.0,1.72,0.0
24502.0,1.72,0.0
24502.0,1.72,0.0
24503.0,1.85,0.0
24504.0,1.85,0.0
24504.0,1.85,0.0
24505.0,1.85,0.0
24505.0,1.85,0.0
24506.0,1.85,0.0
24506.0,1.62,0.0
24507.0,1.62,0.0
24508.0,1.62,0.0
24508.0,1.62,0.0
