Time,Forces,Platform Position
6010.0,3.57,0.0
6010.0,3.58,0.0
6011.0,3.57,0.0
6012.0,3.58,0.0
6012.0,3.54,0.0
6013.0,3.55,0.0
6013.0,3.54,0.0
6014.0,3.55,0.0
6015.0,3.54,0.0
6015.0,3.55,0.0
6016.0,3.55,0.0
6016.0,3.55,0.0
6017.0,3.55,0.0
6017.0,3.55,0.0
6018.0,3.55,0.0
6019.0,3.62,0.0
6019.0,3.62,0.0
6020.0,3.62,0.0
6020.0,3.62,0.0
6021.0,3.62,0.0
6022.0,3.65,0.0
6022.0,3.65,0.0
6023.0,3.65,0.0
6023.0,3.65,0.0
6024.0,3.65,0.0
6025.0,3.6,0.0
6025.0,3.6,0.0
6026.0,3.6,0.0
6026.0,3.6,0.0
6027.0,3.6,0.0
6028.0,3.6,0.0
6028.0,3.82,0.0
6029.0,3.81,0.0
6029.0,3.82,0.0
6030.0,3.81,0.0
6030.0,3.82,0.0
6031.0,3.58,0.0
6032.0,3.58,0.0
6032.0,3.58,0.0
6033.0,3.58,0.0
6033.0,3.58,0.0
6034.0,3.62,0.0
6035.0,3.62,0.0
6035.0,3.62,0.0
6036.0,3.62,0.0
6036.0,3.62,0.0
6037.0,3.62,0.0
6038.0,3.72,0.0
6038.0,3.72,0.0
6039.0,3.72,0.0
6039.0,3.72,0.0
6040.0,3.72,0.0
6040.0,3.74,0.0
6041.0,3.74,0.0
6042.0,3.74,0.0
6042.0,3.74,0.0
6043.0,3.74,0.0
6043.0,3.61,0.0
6044.0,3.6,0.0
6045.0,3.61,0.0
6045.0,3.6,0.0
6046.0,3.61,0.0
6046.0,3.6,0.0
6047.0,3.68,0.0
6047.0,3.68,0.0
6048.0,3.68,0.0
6049.0,3.68,0.0
6049.0,3.68,0.0
6050.0,3.85,0.0
6050.0,3.85,0.0
6051.0,3.85,0.0
6052.0,3.85,0.0
6052.0,3.85,0.0
6053.0,3.8,0.0
6053.0,3.8,0.0
6054.0,3.8,0.0
6055.0,3.8,0.0
6055.0,3.8,0.0
6056.0,3.82,0.0
6056.0,3.83,0.0
6057.0,3.82,0.0
6057.0,3.83,0.0
6058.0,3.82,0.0
6059.0,3.83,0.0
6059.0,3.79,0.0
6060.0,3.8,0.0
6060.0,3.79,0.0
6061.0,3.8,0.0
6062.0,3.79,0.0
6062.0,3.58,0.0
6063.0,3.57,0.0
6063.0,3.58,0.0
6064.0,3.57,0.0
6064.0,3.58,0.0
6065.0,3.59,0.0
6066.0,3.6,0.0
6066.0,3.59,0.0
6067.0,3.6,0.0
6067.0,3.59,0.0
6068.0,3.6,0.0
6069.0,3.77,0.0
6069.0,3.78,0.0
6070.0,3.77,0.0
6070.0,3.78,0.0
6071.0,3.77,0.0
6072.0,3.68,0.0
6072.0,3.68,0.0
6073.0,3.68,0.0
6073.0,3.68,0.0
6074.0,3.68,0.0
6074.0,3.76,0.0
6075.0,3.77,0.0
6076.0,3.76,0.0
6076.0,3.77,0.0
6077.0,3.76,0.0
6077.0,3.77,0.0
6078.0,3.7,0.0
6079.0,3.7,0.0
6079.0,3.7,0.0
6080.0,3.7,0.0
6080.0,3.7,0.0
6081.0,3.6,0.0
6081.0,3.6,0.0
6082.0,3.6,0.0
6083.0,3.6,0.0
6083.0,3.6,0.0
6084.0,3.68,0.0
6084.0,3.68,0.0
6085.0,3.68,0.0
6086.0,3.68,0.0
6086.0,3.68,0.0
6087.0,3.68,0.0
6087.0,3.81,0.0
6088.0,3.81,0.0
6089.0,3.81,0.0
6089.0,3.81,0.0
6090.0,3.81,0.0
6090.0,3.94,0.0
6091.0,3.94,0.0
6091.0,3.94,0.0
6092.0,3.94,0.0
6093.0,3.94,0.0
6093.0,3.85,0.0
6094.0,3.85,0.0
6094.0,3.85,0.0
6095.0,3.85,0.0
6096.0,3.85,0.0
6096.0,3.85,0.0
6097.0,3.71,0.0
6097.0,3.71,0.0
6098.0,3.71,0.0
6098.0,3.71,0.0
6099.0,3.71,0.0
6100.0,3.83,0.0
6100.0,3.83,0.0
6101.0,3.83,0.0
6101.0,3.83,0.0
6102.0,3.83,0.0
6103.0,3.76,0.0
6103.0,3.77,0.0
6104.0,3.76,0.0
6104.0,3.77,0.0
6105.0,3.76,0.0
6106.0,3.77,0.0
6106.0,3.72,0.0
6107.0,3.72,0.0
6107.0,3.72,0.0
6108.0,3.72,0.0
6108.0,3.72,0.0
6109.0,3.73,0.0
6110.0,3.73,0.0
6110.0,3.73,0.0
6111.0,3.73,0.0
6111.0,3.73,0.0
6112.0,3.48,0.0
6113.0,3.48,0.0
6113.0,3.48,0.0
6114.0,3.48,0.0
6114.0,3.48,0.0
6115.0,3.48,0.0
6115.0,3.52,0.0
6116.0,3.53,0.0
6117.0,3.52,0.0
6117.0,3.53,0.0
6118.0,3.52,0.0
6118.0,3.56,0.0
6119.0,3.56,0.0
6120.0,3.56,0.0
6120.0,3.56,0.0
6121.0,3.56,0.0
6121.0,3.77,0.0
6122.0,3.77,0.0
6123.0,3.77,0.0
6123.0,3.77,0.0
6124.0,3.77,0.0
6124.0,3.78,0.0
6125.0,3.78,0.0
6126.0,3.78,0.0
6126.0,3.78,0.0
6127.0,3.78,0.0
6127.0,3.78,0.0
6128.0,3.73,0.0
6129.0,3.73,0.0
6129.0,3.73,0.0
6130.0,3.73,0.0
6130.0,3.73,0.0
6131.0,3.57,0.0
6131.0,3.58,0.0
6132.0,3.57,0.0
6133.0,3.58,0.0
6133.0,3.57,0.0
6134.0,3.56,0.0
6134.0,3.56,0.0
6135.0,3.56,0.0
6136.0,3.56,0.0
6136.0,3.56,0.0
6137.0,3.56,0.0
6137.0,3.57,0.0
6138.0,3.57,0.0
6138.0,3.57,0.0
6139.0,3.57,0.0
6140.0,3.57,0.0
6140.0,3.64,0.0
6141.0,3.64,0.0
6141.0,3.64,0.0
6142.0,3.64,0.0
6143.0,3.64,0.0
6143.0,3.69,0.0
6144.0,3.69,0.0
6144.0,3.69,0.0
6145.0,3.69,0.0
6145.0,3.69,0.0
6146.0,3.56,0.0
6147.0,3.56,0.0
6147.0,3.56,0.0
6148.0,3.56,0.0
6148.0,3.56,0.0
6149.0,3.56,0.0
6150.0,3.52,0.0
6150.0,3.52,0.0
6151.0,3.52,0.0
6151.0,3.52,0.0
6152.0,3.52,0.0
6153.0,3.59,0.0
6153.0,3.59,0.0
6154.0,3.59,0.0
6154.0,3.59,0.0
6155.0,3.59,0.0
6155.0,3.77,0.0
6156.0,3.77,0.0
6157.0,3.77,0.0
6157.0,3.77,0.0
6158.0,3.77,0.0
6158.0,3.77,0.0
6159.0,3.7,0.0
6160.0,3.7,0.0
6160.0,3.7,0.0
6161.0,3.7,0.0
6161.0,3.7,0.0
6162.0,3.77,0.0
6163.0,3.77,0.0
6163.0,3.77,0.0
6164.0,3.77,0.0
6164.0,3.77,0.0
6165.0,3.98,0.0
6165.0,3.98,0.0
6166.0,3.98,0.0
6167.0,3.98,0.0
6167.0,3.98,0.0
6168.0,3.98,0.0
6168.0,3.94,0.0
6169.0,3.94,0.0
6170.0,3.94,0.0
6170.0,3.94,0.0
6171.0,3.94,0.0
6171.0,3.9,0.0
6172.0,3.9,0.0
6172.0,3.9,0.0
6173.0,3.9,0.0
6174.0,3.9,0.0
6174.0,3.81,0.0
6175.0,3.81,0.0
6175.0,3.81,0.0
6176.0,3.81,0.0
6177.0,3.81,0.0
6177.0,3.81,0.0
6178.0,3.69,0.0
6178.0,3.69,0.0
6179.0,3.69,0.0
6179.0,3.69,0.0
6180.0,3.69,0.0
6181.0,3.58,0.0
6181.0,3.57,0.0
6182.0,3.58,0.0
6182.0,3.57,0.0
6183.0,3.58,0.0
6184.0,3.62,0.0
6184.0,3.62,0.0
6185.0,3.62,0.0
6185.0,3.62,0.0
6186.0,3.62,0.0
6187.0,3.62,0.0
6187.0,3.56,0.0
6188.0,3.56,0.0
6188.0,3.56,0.0
6189.0,3.56,0.0
6189.0,3.56,0.0
6190.0,3.87,0.0
6191.0,3.87,0.0
6191.0,3.87,0.0
6192.0,3.87,0.0
6192.0,3.87,0.0
6193.0,3.82,0.0
6194.0,3.83,0.0
6194.0,3.82,0.0
6195.0,3.83,0.0
6195.0,3.82,0.0
6196.0,3.83,0.0
6197.0,3.84,0.0
6197.0,3.84,0.0
6198.0,3.84,0.0
6198.0,3.84,0.0
6199.0,3.84,0.0
6199.0,3.69,0.0
6200.0,3.69,0.0
6201.0,3.69,0.0
6201.0,3.69,0.0
6202.0,3.69,0.0
6202.0,3.67,0.0
6203.0,3.67,0.0
6204.0,3.67,0.0
6204.0,3.67,0.0
6205.0,3.67,0.0
6205.0,3.67,0.0
6206.0,3.84,0.0
6206.0,3.84,0.0
6207.0,3.84,0.0
6208.0,3.84,0.0
6208.0,3.84,0.0
6209.0,3.85,0.0
6209.0,3.85,0.0
6210.0,3.85,0.0
6211.0,3.85,0.0
6211.0,3.85,0.0
6212.0,3.7,0.0
6212.0,3.7,0.0
6213.0,3.7,0.0
6214.0,3.7,0.0
6214.0,3.7,0.0
6215.0,3.7,0.0
6215.0,3.7,0.0
6216.0,3.7,0.0
6216.0,3.7,0.0
6217.0,3.7,0.0
6218.0,3.7,0.0
6218.0,3.81,0.0
6219.0,3.8,0.0
6219.0,3.81,0.0
6220.0,3.8,0.0
6221.0,3.81,0.0
6221.0,3.83,0.0
6222.0,3.84,0.0
6222.0,3.83,0.0
6223.0,3.84,0.0
6223.0,3.83,0.0
6224.0,3.56,0.0
6225.0,3.56,0.0
6225.0,3.56,0.0
6226.0,3.56,0.0
6227.0,3.56,0.0
6227.0,3.56,0.0
6228.0,3.48,0.0
6228.0,3.48,0.0
6229.0,3.48,0.0
6229.0,3.48,0.0
6230.0,3.48,0.0
6231.0,3.62,0.0
6231.0,3.62,0.0
6232.0,3.62,0.0
6232.0,3.62,0.0
6233.0,3.62,0.0
6234.0,3.73,0.0
6234.0,3.73,0.0
6235.0,3.73,0.0
6235.0,3.73,0.0
6236.0,3.73,0.0
6236.0,3.77,0.0
6237.0,3.77,0.0
6238.0,3.77,0.0
6238.0,3.77,0.0
6239.0,3.77,0.0
6239.0,3.77,0.0
6240.0,3.65,0.0
6241.0,3.65,0.0
6241.0,3.65,0.0
6242.0,3.65,0.0
6242.0,3.65,0.0
6243.0,3.62,0.0
6244.0,3.62,0.0
6244.0,3.62,0.0
6245.0,3.62,0.0
6245.0,3.62,0.0
6246.0,3.66,0.0
6246.0,3.66,0.0
6247.0,3.66,0.0
6248.0,3.66,0.0
6248.0,3.66,0.0
6249.0,3.66,0.0
6249.0,3.87,0.0
6250.0,3.87,0.0
6251.0,3.87,0.0
6251.0,3.87,0.0
6252.0,3.87,0.0
6252.0,3.86,0.0
6253.0,3.85,0.0
6253.0,3.86,0.0
6254.0,3.85,0.0
6255.0,3.86,0.0
6255.0,3.83,0.0
6256.0,3.83,0.0
6256.0,3.83,0.0
6257.0,3.83,0.0
6258.0,3.83,0.0
6258.0,3.83,0.0
6259.0,3.84,0.0
6259.0,3.85,0.0
6260.0,3.84,0.0
6261.0,3.85,0.0
6261.0,3.84,0.0
6262.0,3.65,0.0
6262.0,3.65,0.0
6263.0,3.65,0.0
6263.0,3.65,0.0
6264.0,3.65,0.0
6265.0,3.53,0.0
6265.0,3.53,0.0
6266.0,3.53,0.0
6266.0,3.53,0.0
6267.0,3.53,0.0
6268.0,3.53,0.0
6268.0,3.54,0.0
6269.0,3.54,0.0
6269.0,3.54,0.0
6270.0,3.54,0.0
6270.0,3.54,0.0
6271.0,3.52,0.0
6272.0,3.52,0.0
6272.0,3.52,0.0
6273.0,3.52,0.0
6273.0,3.52,0.0
6274.0,3.51,0.0
6275.0,3.51,0.0
6275.0,3.51,0.0
6276.0,3.51,0.0
6276.0,3.51,0.0
6277.0,3.51,0.0
6278.0,3.75,0.0
6278.0,3.76,0.0
6279.0,3.75,0.0
6279.0,3.76,0.0
6280.0,3.75,0.0
6280.0,3.92,0.0
6281.0,3.92,0.0
6282.0,3.92,0.0
6282.0,3.92,0.0
6283.0,3.92,0.0
6283.0,3.71,0.0
6284.0,3.71,0.0
6285.0,3.71,0.0
6285.0,3.71,0.0
6286.0,3.71,0.0
6286.0,3.71,0.0
6287.0,3.83,0.0
6287.0,3.83,0.0
6288.0,3.83,0.0
6289.0,3.83,0.0
6289.0,3.83,0.0
6290.0,3.81,0.0
6290.0,3.81,0.0
6291.0,3.81,0.0
6292.0,3.81,0.0
6292.0,3.81,0.0
6293.0,3.55,0.0
6293.0,3.56,0.0
6294.0,3.55,0.0
6295.0,3.56,0.0
6295.0,3.55,0.0
6296.0,3.53,0.0
6296.0,3.53,0.0
6297.0,3.53,0.0
6297.0,3.53,0.0
6298.0,3.53,0.0
6299.0,3.53,0.0
6299.0,3.95,0.0
6300.0,3.95,0.0
6300.0,3.95,0.0
6301.0,3.95,0.0
6302.0,3.95,0.0
6302.0,3.86,0.0
6303.0,3.86,0.0
6303.0,3.86,0.0
6304.0,3.86,0.0
6305.0,3.86,0.0
6305.0,3.62,0.0
6306.0,3.62,0.0
6306.0,3.62,0.0
6307.0,3.62,0.0
6307.0,3.62,0.0
6308.0,3.62,0.0
6309.0,3.71,0.0
6309.0,3.71,0.0
6310.0,3.71,0.0
6310.0,3.71,0.0
6311.0,3.71,0.0
6312.0,3.62,0.0
6312.0,3.62,0.0
6313.0,3.62,0.0
6313.0,3.62,0.0
6314.0,3.62,0.0
6314.0,3.62,0.0
6315.0,3.61,0.0
6316.0,3.62,0.0
6316.0,3.61,0.0
6317.0,3.62,0.0
6317.0,3.61,0.0
6318.0,3.85,0.0
6319.0,3.84,0.0
6319.0,3.85,0.0
6320.0,3.84,0.0
6320.0,3.85,0.0
6321.0,3.97,0.0
6321.0,3.97,0.0
