Time,Forces,Platform Position
2831425.0,2.5,3.57
2831426.0,2.5,3.57
2831426.0,2.52,3.57
2831427.0,2.52,3.57
2831427.0,2.52,3.57
2831428.0,2.52,3.57
2831429.0,2.52,3.57
2831429.0,2.83,3.57
2831430.0,2.82,3.57
2831430.0,2.83,3.57
2831431.0,2.82,3.57
2831432.0,2.83,3.57
2831432.0,2.82,3.57
2831433.0,2.73,3.57
2831433.0,2.73,3.57
2831434.0,2.73,3.57
2831435.0,2.73,3.57
2831435.0,2.73,3.57
2831436.0,2.72,3.57
2831436.0,2.72,3.57
2831437.0,2.72,3.57
2831437.0,2.72,3.57
2831438.0,2.72,3.57
2831439.0,2.8,3.57
2831439.0,2.79,3.57
2831440.0,2.8,3.57
2831440.0,2.79,3.57
2831441.0,2.8,3.57
2831442.0,2.79,3.57
2831442.0,2.78,3.57
2831443.0,2.78,3.57
2831443.0,2.78,3.57
2831444.0,2.78,3.57
2831444.0,2.78,3.57
2831445.0,2.62,3.57
2831446.0,2.62,3.57
2831446.0,2.62,3.57
2831447.0,2.62,3.57
2831447.0,2.62,3.57
2831448.0,2.52,3.57
2831449.0,2.52,3.57
2831449.0,2.52,3.57
2831450.0,2.52,3.57
2831450.0,2.52,3.57
2831451.0,2.39,3.57
2831452.0,2.39,3.57
2831452.0,2.39,3.57
2831453.0,2.39,3.57
2831453.0,2.39,3.57
2831454.0,2.39,3.57
2831454.0,2.39,3.57
2831455.0,2.39,3.57
2831456.0,2.39,3.57
2831456.0,2.39,3.57
2831457.0,2.39,3.57
2831457.0,2.46,3.57
2831458.0,2.46,3.57
2831459.0,2.46,3.57
2831459.0,2.46,3.57
2831460.0,2.46,3.57
2831460.0,2.64,3.57
2831461.0,2.64,3.57
2831462.0,2.64,3.57
2831462.0,2.64,3.57
2831463.0,2.64,3.57
2831463.0,2.64,3.57
2831464.0,2.69,3.57
2831464.0,2.69,3.57
2831465.0,2.69,3.57
2831466.0,2.69,3.57
2831466.0,2.69,3.57
2831467.0,2.66,3.57
2831467.0,2.66,3.57
2831468.0,2.66,3.57
2831469.0,2.66,3.57
2831469.0,2.66,3.57
2831470.0,2.69,3.57
2831470.0,2.69,3.57
2831471.0,2.69,3.57
2831471.0,2.69,3.57
2831472.0,2.69,3.57
2831473.0,2.69,3.57
2831473.0,2.55,3.57
2831474.0,2.55,3.57
2831474.0,2.55,3.57
2831475.0,2.55,3.57
2831476.0,2.55,3.57
2831476.0,2.43,3.57
2831477.0,2.43,3.57
2831477.0,2.43,3.57
2831478.0,2.43,3.57
2831479.0,2.43,3.57
2831479.0,2.47,3.57
2831480.0,2.47,3.57
2831480.0,2.47,3.57
2831481.0,2.47,3.57
2831481.0,2.47,3.57
2831482.0,2.47,3.57
2831483.0,2.68,3.57
2831483.0,2.68,3.57
2831484.0,2.68,3.57
2831484.0,2.68,3.57
2831485.0,2.68,3.57
