Time,Forces,Platform Position
5424.0,2.61,0.0
5424.0,2.6,0.0
5425.0,2.53,0.0
5425.0,2.53,0.0
5426.0,2.53,0.0
5426.0,2.53,0.0
5427.0,2.53,0.0
5428.0,2.56,0.0
5428.0,2.56,0.0
5429.0,2.56,0.0
5429.0,2.56,0.0
5430.0,2.56,0.0
5431.0,2.56,0.0
5431.0,2.65,0.0
5432.0,2.65,0.0
5432.0,2.65,0.0
5433.0,2.65,0.0
5434.0,2.65,0.0
5434.0,2.73,0.0
5435.0,2.73,0.0
5435.0,2.73,0.0
5436.0,2.73,0.0
5436.0,2.73,0.0
5437.0,2.79,0.0
5438.0,2.79,0.0
5438.0,2.79,0.0
5439.0,2.79,0.0
5439.0,2.79,0.0
5440.0,2.79,0.0
5441.0,2.75,0.0
5441.0,2.75,0.0
5442.0,2.75,0.0
5442.0,2.75,0.0
5443.0,2.75,0.0
5443.0,2.62,0.0
5444.0,2.62,0.0
5445.0,2.62,0.0
5445.0,2.62,0.0
5446.0,2.62,0.0
5446.0,2.64,0.0
5447.0,2.64,0.0
5448.0,2.64,0.0
5448.0,2.64,0.0
5449.0,2.64,0.0
5449.0,2.66,0.0
5450.0,2.66,0.0
5450.0,2.66,0.0
5451.0,2.66,0.0
5452.0,2.66,0.0
5452.0,2.66,0.0
5453.0,2.72,0.0
5453.0,2.72,0.0
5454.0,2.72,0.0
5455.0,2.72,0.0
5455.0,2.72,0.0
5456.0,2.74,0.0
5456.0,2.74,0.0
5457.0,2.74,0.0
5458.0,2.74,0.0
5458.0,2.74,0.0
5459.0,2.87,0.0
5459.0,2.86,0.0
5460.0,2.87,0.0
5460.0,2.86,0.0
5461.0,2.87,0.0
5462.0,2.86,0.0
5462.0,2.89,0.0
5463.0,2.89,0.0
5463.0,2.89,0.0
5464.0,2.89,0.0
5465.0,2.89,0.0
5465.0,2.72,0.0
5466.0,2.72,0.0
5466.0,2.72,0.0
5467.0,2.72,0.0
5468.0,2.72,0.0
5468.0,2.46,0.0
5469.0,2.46,0.0
5469.0,2.46,0.0
5470.0,2.46,0.0
5470.0,2.46,0.0
5471.0,2.46,0.0
5472.0,2.55,0.0
5472.0,2.55,0.0
5473.0,2.55,0.0
5473.0,2.55,0.0
5474.0,2.55,0.0
5475.0,2.67,0.0
5475.0,2.67,0.0
5476.0,2.67,0.0
5476.0,2.67,0.0
5477.0,2.67,0.0
5477.0,2.69,0.0
5478.0,2.69,0.0
5479.0,2.69,0.0
5479.0,2.69,0.0
5480.0,2.69,0.0
5480.0,2.69,0.0
5481.0,2.65,0.0
5482.0,2.65,0.0
5482.0,2.65,0.0
5483.0,2.65,0.0
5483.0,2.65,0.0
5484.0,2.58,0.0
5485.0,2.58,0.0
5485.0,2.58,0.0
5486.0,2.58,0.0
5486.0,2.58,0.0
5487.0,2.64,0.0
5487.0,2.64,0.0
5488.0,2.64,0.0
